Application ID,City,Zip,Application Submission Date,Facility Type,Sector,PV Capacity (kW),Geothermal Capacity (tons),Wind Capacity (kW),Solar Water Capacity (sq ft),Total System Costs ($),Total Rebate,Mounting Location,PPA/Lease,Payment Status
R00144,Hockessin,19707,10/04/2006,PV,Residential,5.2,,,,45000.00,22500.00,,,Paid
R00229,Middletown,19709,07/17/2007,PV,Residential,5.2,,,,45000.00,22500.00,,,Paid
R00239,Ocean View,19970,08/13/2007,PV,Residential,5.2,,,,45150.00,22575.00,,,Paid
R00310,Newark,19711,02/19/2008,PV,Residential,5.2,,,,42600.00,21300.00,,,Paid
R00359,Millsboro,19966,04/16/2008,PV,Residential,5.2,,,,59875.00,29937.50,,,Paid
R00366,Lewes,19958,05/06/2008,PV,Residential,5.2,,,,42250.00,21250.00,,,Paid
R00387,Hockessin,19707,05/12/2008,PV,Residential,5.2,,,,40622.00,20311.00,,,Paid
R00406,Newark,19702,05/15/2008,PV,Residential,5.2,,,,38500.00,19250.00,,,Paid
NR00122,Wilmington,19801,08/06/2008,PV,Non_Residential,5.2,,,,47948.00,23974.00,,,Paid
R00531,Wilmington,19807,10/03/2008,PV,Residential,5.2,,,,40560.00,20280.00,,,Paid
R00988,Rehoboth Beach,19971,02/26/2010,PV,Residential,5.2,,,,30992.00,7748.00,,,Paid
R01566,Lewes,19958,06/07/2012,PV,Residential,5.2,,,,33800.00,6400.00,,,Paid
R01639,Milton,19963,10/05/2012,PV,Residential,5.2,,,,28216.00,6400.00,,,Paid
R01841,New Castle,19720,08/01/2013,PV,Residential,5.2,,,,17586.00,6400.00,,,Paid
R01849,Wilmington,19810,08/09/2013,PV,Residential,5.2,,,,18346.00,6400.00,,,Paid
R01893,Wilmington,19810,09/25/2013,PV,Residential,5.2,,,,17860.00,6400.00,,,Paid
R01937,Wilmington,19808,11/13/2013,PV,Residential,5.2,,,,24160.00,6400.00,,,Paid
R02000,Newark,19711,01/08/2014,PV,Residential,5.2,,,,17350.00,6400.00,,,Paid
R02006,Lewes,19958,01/09/2014,PV,Residential,5.2,,,,18923.00,6400.00,,,Paid
R02010,Wilmington,19810,01/10/2014,PV,Residential,5.2,,,,18360.00,6400.00,,,Paid
R02018,Newark,19711,01/16/2014,PV,Residential,5.2,,,,17350.00,6400.00,,,Paid
R02092,Bear,19701,04/25/2014,PV,Residential,5.2,,,,20437.00,6400.00,,,Paid
R02195,Wilmington,19808,06/17/2014,PV,Residential,5.2,,,,18230.00,6400.00,,,Paid
5148,South Bethany Beach,19930,09/24/2014,PV,Residential,5.2,,,,16375.00,4300.00,rooftop,owned,Paid
6201,Wilmington,19803,05/01/2015,PV,Residential,5.2,,,,26000.00,4300.00,rooftop,ppa,Paid
6525,Ocean View,19970,08/10/2015,PV,Residential,5.2,,,,26000.00,4300.00,rooftop,ppa,Paid
6721,Camden-Wyoming,19934,04/04/2016,PV,Residential,5.2,,,,54600.00,4300.00,rooftop,ppa,Paid
7279,Claymont,19703,04/12/2016,PV,Residential,5.2,,,,26000.00,1000.00,rooftop,ppa,Paid
7809,Townsend,19734,05/13/2016,PV,Residential,5.2,,,,31239.00,1000.00,rooftop,lease,Paid
7833,Newark,19702,05/16/2016,PV,Residential,5.2,,,,23140.00,1000.00,rooftop,ppa,Paid
7463,Lincoln,19960,08/17/2016,PV,Residential,5.2,,,,26000.00,1000.00,rooftop,lease,Paid
8241,Dover,19901,08/18/2016,PV,Residential,5.2,,,,40495.00,1000.00,rooftop,lease,Paid
8326,Millsboro,19966,09/01/2016,PV,Residential,5.2,,,,23140.00,1000.00,rooftop,lease,Paid
8351,Millsboro,19966,09/19/2016,PV,Residential,5.2,,,,50908.00,1000.00,rooftop,lease,Paid
7684,Newark,19702,09/27/2016,PV,Residential,5.2,,,,57850.00,1000.00,rooftop,lease,Paid
8307,Newark,19713,09/28/2016,PV,Residential,5.2,,,,23140.00,1000.00,rooftop,lease,Paid
8146,Bethany Beach,19930,10/07/2016,PV,Residential,5.2,,,,23140.00,1000.00,rooftop,lease,Paid
7721,Newark,19702,10/21/2016,PV,Residential,5.2,,,,60164.00,1000.00,rooftop,ppa,Paid
8096,Rehoboth Beach,19971,11/07/2016,PV,Residential,5.2,,,,16146.00,2790.00,rooftop,owned,Paid
7225,Newark,19702,11/10/2016,PV,Residential,5.2,,,,26000.00,1000.00,rooftop,lease,Paid
8069,Newark,19713,11/21/2016,PV,Residential,5.2,,,,23140.00,1000.00,rooftop,lease,Paid
8179,Newark,19702,11/23/2016,PV,Residential,5.2,,,,45123.00,1000.00,rooftop,lease,Paid
